Reference,OE,AE,OG,FG,Refractometer,BXI,BXF,WCF,Organization,Operator,Date
Hydrometer,nan,nan,1.073,1.014,Unknown,17.6,8.9,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.098,1.023,Unknown,23.2,12.9,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.054,1.020,Unknown,13.1,8.1,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.038,1.016,Unknown,9.5,6.2,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.059,1.026,Unknown,14.3,9.5,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.062,1.013,Unknown,15.0,7.8,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.071,1.010,Unknown,17.2,7.8,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.059,1.013,Unknown,14.4,7.5,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.063,1.018,Unknown,15.3,8.7,0.99,HomebrewTalk,dmtaylor,
Hydrometer,nan,nan,1.056,1.012,Unknown,13.8,6.2,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.057,1.014,Unknown,13.8,7.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.056,1.008,Unknown,13.7,6.1,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.054,1.011,Unknown,13.4,6.8,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.055,1.006,Unknown,13.8,6.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.053,1.010,Unknown,13.0,6.6,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.052,1.008,Unknown,13.1,6.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.055,1.013,Unknown,13.4,7.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.056,1.005,Unknown,13.7,6.2,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.056,1.012,Unknown,13.9,7.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.054,1.006,Unknown,13.35,5.5,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.054,1.013,Unknown,13.4,7.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.051,1.014,Unknown,12.6,7.0,0.99,HomebrewTalk,balrog,
Hydrometer,nan,nan,1.048,1.011,Unknown,11.4,6.0,0.99,HomebrewTalk,balrog,
Saccharometer,nan,3.2,nan,nan,Unknown,13.5,6.7,nan,Hobbybrauer.de,Pippen,2011-07-01
Saccharometer,nan,4.2,nan,nan,Unknown,12.5,6.2,nan,Hobbybrauer.de,Unimog,2011-07-04
Saccharometer,nan,4.9,nan,nan,Unknown,16.6,8.8,nan,Hobbybrauer.de,muldengold,2011-07-27
Saccharometer,nan,2.9,nan,nan,Unknown,13.6,6.7,nan,Hobbybrauer.de,Unimog,2011-08-16
Saccharometer,nan,3.1,nan,nan,Unknown,12.5,6.6,nan,Hobbybrauer.de,Kleier,2011-11-26
Saccharometer,nan,3.9,nan,nan,Unknown,14.6,8.0,nan,Hobbybrauer.de,Earl,2012-02-08
Saccharometer,nan,3.4,nan,nan,Unknown,21.2,9.1,nan,Hobbybrauer.de,darkenemy,2013-03-09
Saccharometer,nan,2.7,nan,nan,Unknown,14.6,6.7,nan,Hobbybrauer.de,darkenemy,2013-04-01
Saccharometer,nan,3.55,nan,nan,Unknown,13.2,7.1,nan,Hobbybrauer.de,Earl,2013-04-21
Saccharometer,nan,3.7,nan,nan,Unknown,15.5,8.0,nan,Hobbybrauer.de,darkenemy,2013-05-05
Saccharometer,nan,2.2,nan,nan,Unknown,12.6,5.5,nan,Hobbybrauer.de,Nikolex,2013-06-06
Saccharometer,nan,2.55,nan,nan,Unknown,13.6,4.0,nan,Hobbybrauer.de,Earl,2013-06-15
Saccharometer,nan,3.1,nan,nan,Unknown,14.5,7.6,nan,Hobbybrauer.de,braugnom,2013-08-18
Saccharometer,nan,3.1,nan,nan,Unknown,11.8,6.3,nan,Hobbybrauer.de,braugnom,2013-09-04
Saccharometer,nan,4.8,nan,nan,Unknown,15.4,8.8,nan,Hobbybrauer.de,Unimog,2013-09-16
Saccharometer,nan,2.9,nan,nan,Unknown,12.9,6.5,nan,Hobbybrauer.de,Nobexx,2014-01-31
Saccharometer,nan,3.15,nan,nan,Unknown,14.1,7.2,nan,Hobbybrauer.de,muldengold,2014-08-25
Saccharometer,nan,2.7,nan,nan,Unknown,12.3,6.2,nan,Hobbybrauer.de,muldengold,2015-06-10
Saccharometer,nan,3.1,nan,nan,Unknown,12.2,6.4,nan,Hobbybrauer.de,muldengold,2015-09-06
Saccharometer,nan,4.7,nan,nan,Unknown,11.8,7.4,nan,Hobbybrauer.de,Unimog,2017-02-21
Saccharometer,nan,3.1,nan,nan,Unknown,13.1,6.7,nan,Hobbybrauer.de,Unimog,2017-03-19
Saccharometer,nan,2.4,nan,nan,Unknown,11.5,5.8,nan,Hobbybrauer.de,Kraeusenpils,2017-03-28
Hydrometer,17.1,3.6,nan,nan,Unknown,17.0,8.6,1.0,,Novotný,
