Reference,OG,FG,Refractometer,BXI,BXF,WCF
Hydrometer,1.056,1.012,Unknown,13.8,6.2,nan
Hydrometer,1.057,1.014,Unknown,13.8,7.0,nan
Hydrometer,1.056,1.008,Unknown,13.7,6.1,nan
Hydrometer,1.054,1.011,Unknown,13.4,6.8,nan
Hydrometer,1.055,1.006,Unknown,13.8,6.0,nan
Hydrometer,1.053,1.010,Unknown,13.0,6.6,nan
Hydrometer,1.052,1.008,Unknown,13.1,6.0,nan
Hydrometer,1.055,1.013,Unknown,13.4,7.0,nan
Hydrometer,1.056,1.005,Unknown,13.7,6.2,nan
Hydrometer,1.056,1.012,Unknown,13.9,7.0,nan
Hydrometer,1.054,1.006,Unknown,13.35,5.5,nan
Hydrometer,1.054,1.013,Unknown,13.4,7.0,nan
Hydrometer,1.051,1.014,Unknown,12.6,7.0,nan
Hydrometer,1.048,1.011,Unknown,11.4,6.0,nan
