,Reference,OE,AE,Refractometer,RII,RIF,Replicate,RII Dev,ABV,WCF,ABV Bonham,ABV Gardner,ABV Gossett,ABV Novotny Linear,ABV Novotny Quadratic,ABV Terrill Linear,ABV Terrill Cubic
2,PBA-B M,13.46,1.93,ORA 32BA,14.0,6.5,1,0.5399999999999991,6.225045444668154,1.040118870728083,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
3,Easy Dens Gen 2,13.4,2.3,ORA 32BA,14.0,6.5,1,0.5999999999999996,6.000652840249577,1.044776119402985,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
4,PBA-B M,13.51,1.94,ORA 32BA,14.0,6.5,1,0.4900000000000002,6.248010506224113,1.0362694300518134,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
5,Easy Dens Gen 2,13.4,2.3,ORA 32BA,14.0,6.5,1,0.5999999999999996,6.000652840249577,1.044776119402985,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
6,PBA-B M,13.48,1.92,ORA 32BA,14.0,6.5,1,0.5199999999999996,6.2414331775081155,1.0385756676557862,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
7,Easy Dens Gen 2,13.4,2.3,ORA 32BA,14.0,6.5,1,0.5999999999999996,6.000652840249577,1.044776119402985,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
8,PBA-B M,13.38,1.86,ORA 32BA,14.0,6.5,1,0.6199999999999992,6.216095672819149,1.046337817638266,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
9,Easy Dens Gen 2,13.4,2.3,ORA 32BA,14.0,6.5,1,0.5999999999999996,6.000652840249577,1.044776119402985,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
10,PBA-B M,11.78,1.62,ORA 32BA,12.0,6.0,0,0.22000000000000064,5.445584433237185,1.0186757215619695,4.870186872218624,4.923801851653289,5.166269628446016,4.944215622062794,5.018915922547412,4.790495282908688,4.645177908311771
11,Easy Dens Gen 2,11.4,2.4,ORA 32BA,12.0,6.0,0,0.5999999999999996,4.83269673205723,1.0526315789473684,4.870186872218624,4.923801851653289,5.166269628446016,4.944215622062794,5.018915922547412,4.790495282908688,4.645177908311771
12,PBA-B M,12.01,2.28,ORA 32BA,12.0,5.5,1,-0.009999999999999787,5.23354569085388,0.9991673605328892,5.273484972952045,5.318032652471251,5.57978981865489,5.340944035709757,5.4087054387155415,5.01154833581522,4.867975001233955
13,Easy Dens Gen 2,11.4,2.6,ORA 32BA,12.0,5.5,1,0.5999999999999996,4.729176749760152,1.0526315789473684,5.273484972952045,5.318032652471251,5.57978981865489,5.340944035709757,5.4087054387155415,5.01154833581522,4.867975001233955
14,PBA-B M,11.61,1.76,ORA 32BA,12.0,5.5,1,0.39000000000000057,5.27923736869139,1.03359173126615,5.273484972952045,5.318032652471251,5.57978981865489,5.340944035709757,5.4087054387155415,5.01154833581522,4.867975001233955
15,Easy Dens Gen 2,11.4,2.6,ORA 32BA,12.0,5.5,1,0.5999999999999996,4.729176749760152,1.0526315789473684,5.273484972952045,5.318032652471251,5.57978981865489,5.340944035709757,5.4087054387155415,5.01154833581522,4.867975001233955
16,PBA-B M,13.91,1.74,ORA 32BA,14.0,6.5,1,0.08999999999999986,6.576036318928183,1.00647016534867,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
17,Easy Dens Gen 2,13.7,2.6,ORA 32BA,14.0,6.5,1,0.3000000000000007,6.014410327257953,1.0218978102189782,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
18,PBA-B M,13.91,1.8,ORA 32BA,14.0,6.5,1,0.08999999999999986,6.5452156866040525,1.00647016534867,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
19,Easy Dens Gen 2,13.7,2.6,ORA 32BA,14.0,6.5,1,0.3000000000000007,6.014410327257953,1.0218978102189782,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
20,PBA-B M,13.92,1.81,ORA 32BA,14.0,6.5,1,0.08000000000000007,6.545715626689653,1.0057471264367817,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
21,Easy Dens Gen 2,13.7,2.6,ORA 32BA,14.0,6.5,1,0.3000000000000007,6.014410327257953,1.0218978102189782,6.178141424710714,6.188497967990556,6.553171993109606,6.21538063689527,6.280038410096559,5.8605286107024375,5.766577216925684
23,Easy Dens Gen 2,15.0,7.0,ORA 32BA,14.5,9.88,1,-0.5,4.432694077755799,0.9666666666666667,3.800519677983443,3.8912209350992906,4.13434547913946,3.946248588153051,4.026760072580822,4.6894401738634,4.523827589077716
25,Easy Dens Gen 2,15.0,7.0,ORA 32BA,14.5,9.88,1,-0.5,4.432694077755799,0.9666666666666667,3.800519677983443,3.8912209350992906,4.13434547913946,3.946248588153051,4.026760072580822,4.6894401738634,4.523827589077716
27,Easy Dens Gen 2,15.0,7.0,ORA 32BA,14.5,9.88,1,-0.5,4.432694077755799,0.9666666666666667,3.800519677983443,3.8912209350992906,4.13434547913946,3.946248588153051,4.026760072580822,4.6894401738634,4.523827589077716
