Reference,OE,AE,OG,FG,Refractometer,BXI,BXF,WCF,Organization,Operator,Date
Saccharometer,nan,3.2,nan,nan,Unknown,13.5,6.7,1.03,Hobbybrauer.de,Pippen,2011-07-01
Saccharometer,nan,4.2,nan,nan,Unknown,12.5,6.2,1.03,Hobbybrauer.de,Unimog,2011-07-04
Saccharometer,nan,4.9,nan,nan,Unknown,16.6,8.8,1.03,Hobbybrauer.de,muldengold,2011-07-27
Saccharometer,nan,2.9,nan,nan,Unknown,13.6,6.7,1.03,Hobbybrauer.de,Unimog,2011-08-16
Saccharometer,nan,3.1,nan,nan,Unknown,12.5,6.6,1.03,Hobbybrauer.de,Kleier,2011-11-26
Saccharometer,nan,3.9,nan,nan,Unknown,14.6,8.0,1.03,Hobbybrauer.de,Earl,2012-02-08
Saccharometer,nan,3.4,nan,nan,Unknown,21.2,9.1,1.03,Hobbybrauer.de,darkenemy,2013-03-09
Saccharometer,nan,2.7,nan,nan,Unknown,14.6,6.7,1.03,Hobbybrauer.de,darkenemy,2013-04-01
Saccharometer,nan,3.55,nan,nan,Unknown,13.2,7.1,1.03,Hobbybrauer.de,Earl,2013-04-21
Saccharometer,nan,3.7,nan,nan,Unknown,15.5,8.0,1.03,Hobbybrauer.de,darkenemy,2013-05-05
Saccharometer,nan,2.2,nan,nan,Unknown,12.6,5.5,1.03,Hobbybrauer.de,Nikolex,2013-06-06
Saccharometer,nan,2.55,nan,nan,Unknown,13.6,4.0,1.03,Hobbybrauer.de,Earl,2013-06-15
Saccharometer,nan,3.1,nan,nan,Unknown,14.5,7.6,1.03,Hobbybrauer.de,braugnom,2013-08-18
Saccharometer,nan,3.1,nan,nan,Unknown,11.8,6.3,1.03,Hobbybrauer.de,braugnom,2013-09-04
Saccharometer,nan,4.8,nan,nan,Unknown,15.4,8.8,1.03,Hobbybrauer.de,Unimog,2013-09-16
Saccharometer,nan,2.9,nan,nan,Unknown,12.9,6.5,1.03,Hobbybrauer.de,Nobexx,2014-01-31
Saccharometer,nan,3.15,nan,nan,Unknown,14.1,7.2,1.03,Hobbybrauer.de,muldengold,2014-08-25
Saccharometer,nan,2.7,nan,nan,Unknown,12.3,6.2,1.03,Hobbybrauer.de,muldengold,2015-06-10
Saccharometer,nan,3.1,nan,nan,Unknown,12.2,6.4,1.03,Hobbybrauer.de,muldengold,2015-09-06
Saccharometer,nan,4.7,nan,nan,Unknown,11.8,7.4,1.03,Hobbybrauer.de,Unimog,2017-02-21
Saccharometer,nan,3.1,nan,nan,Unknown,13.1,6.7,1.03,Hobbybrauer.de,Unimog,2017-03-19
Saccharometer,nan,2.4,nan,nan,Unknown,11.5,5.8,1.03,Hobbybrauer.de,Kraeusenpils,2017-03-28
